date,btc,eth,doge,ltc,bch,etc,dash
2017-09-10,27152366405.82644,17771801343.482616,116704818.4100414,2006647734.6349003,2197692051.627716,1058145824.4727074,784010356.9419205
2017-09-11,27200308321.54041,17735565967.173252,116653207.10124499,2017867812.4772177,2201839184.902063,1050103188.7959362,787239506.4986694
2017-09-12,27248866987.140556,17665907466.729443,116335817.14248094,2022480964.9328496,2212303529.014284,1047869467.5407492,790793404.269153
2017-09-13,27190312154.96337,17575089754.375416,116123644.34173164,2018507007.578832,2216317650.681541,1034203378.7064766,793501263.7672279
2017-09-14,26963493355.732807,16712749127.219976,113385634.06087896,1985326887.3304956,2210571315.688469,968912256.8442237,791858971.1541766
2017-09-15,27080998195.99881,16846723708.567108,108900808.5039349,1989998076.486188,2220058960.884108,976146339.7400595,794538997.1308851
2017-09-16,27140277931.20987,16800481415.874138,105985366.16573064,2017608617.0462327,2225338525.930084,973979127.237063,798078127.7687707
2017-09-17,27161639481.34924,16828845086.788118,103639458.50644971,2029676445.27721,2226875813.715844,972428670.9022721,802192185.743247
2017-09-18,27279497826.807247,16996872327.319147,101802672.38458188,2110245622.8685856,2247864619.659996,992282324.1578035,806459318.5087389
2017-09-19,27329306396.193645,16975370410.427174,100409244.05307335,2112126117.5848455,2277940509.7363257,985641601.6247928,810583177.3827925
2017-09-20,27369596109.61932,17008937677.08716,100236525.2881636,2110234880.561322,2284686392.1302576,980424453.8709896,817167893.7779727
2017-09-21,27346457598.68455,16872885303.371595,99232364.23164931,2104317677.0867667,2277688100.5833983,956535637.0005299,830043359.04509
2017-09-22,27381750991.865204,16862679740.244663,99114290.7827577,2051831717.5125628,2276886248.093806,953841628.2695081,850921534.6341414
2017-09-23,27431482899.914352,16967660576.464672,99994619.96009214,2056648315.3075805,2283180912.5705757,954914647.6868552,864199549.9588708
2017-09-24,27439826341.08912,17010621247.989492,99509724.44373313,2053235923.5188992,2286610900.5828648,958739275.1258242,865130919.2446039
2017-09-25,27743823403.458157,17063620912.528315,99978235.72478896,2057952135.6299584,2288188548.2597766,966446964.7610531,870186424.443879
2017-09-26,27809137344.09684,17100219065.275951,100285309.39803168,2061188261.5510905,2348645687.33724,979488510.9070256,873438177.0428296
2017-09-27,27958927902.61069,17228659444.29241,100466542.72221547,2078011547.262352,2359303087.99246,1002721970.4689538,877188387.8603418
2017-09-28,28075324544.66089,17318700722.319508,100355814.29425324,2082078003.942969,2381533539.376342,1009561166.377788,879681442.2138494
2017-09-29,28148925424.6966,17296250969.43995,100206882.60307856,2079179926.530939,2379107835.190744,1008436036.3530596,881653744.1700536
2017-09-30,28299664415.310986,17341089349.584705,101003026.59316038,2081537698.713703,2387108438.5022626,1011884450.9783198,885762541.3355687
2017-10-01,28390529741.629074,17436615979.014503,100917853.05045168,2085469510.2632887,2400644715.258277,1009172507.8790143,887579436.3313504
2017-10-02,28542671384.768784,17394006966.918625,100771245.72378685,2084446031.17257,2399691832.9592443,1002377881.3068056,889152299.6209716
2017-10-03,28629227504.109978,17327204344.400932,100685667.29477625,2082803265.584334,2403439462.648472,999174660.7353152,893086391.5735886
2017-10-04,28687821953.376953,17340736890.91559,100650907.0615856,2083910936.7054143,2382107090.1944466,994898371.9945472,895875695.9552505
2017-10-05,28888732683.11092,17358106766.90459,100627561.8660072,2083314187.7076688,2404685459.113893,993922391.9317064,898009007.5392237
2017-10-06,28990008231.04973,17426434594.084976,100600368.73984444,2083931938.7589688,2406052789.193048,1000017141.8478014,897977445.4051023
2017-10-07,29073592610.93579,17467777291.400436,100573644.30607449,2084667181.576086,2400426770.5390825,1002401914.278566,899227821.036933
2017-10-08,29223796182.06189,17483613939.39179,100391645.0497466,2085145666.071798,2411779934.557179,1000293578.0757872,902964662.4065092
2017-10-09,29508880830.12844,17459388271.913334,100269201.94777286,2083325321.4586468,2411955037.9020324,956073277.642644,904126103.6836352
2017-10-10,29708154726.845802,17451698257.46166,100195148.34592786,2081101843.0814545,2416656170.0319247,955116702.9829792,905672975.7109156
2017-10-11,29829554912.345367,17480319663.05584,100256259.217156,2083431805.8435671,2412279425.3812823,954781477.3420144,905879030.8948172
2017-10-12,30146294020.401215,17506836794.10488,100264983.65246432,2094481940.145952,2416063107.3728375,959509059.9479853,912292778.4387776
2017-10-13,30590485427.199657,17681227696.253117,100250919.21004072,2098834888.1785512,2422332993.8087454,964084662.5222926,913360324.6406752
2017-10-14,30810017287.263103,17933434292.600758,100273164.317659,2109140843.9745443,2417966238.04168,986370781.1315731,915745573.2274208
2017-10-15,31007919533.52939,18008297384.39869,100384678.5153443,2116572140.9465804,2417870858.5133824,984864669.9758033,917376003.7154496
2017-10-16,31297278543.203163,18100673820.92899,100663008.5872664,2120618413.2282104,2418488983.3734174,984481671.3071843,917411812.1885633
2017-10-17,31511371294.7734,18341551619.065678,100513588.81483446,2122004518.5700295,2436392790.480477,982192614.6330243,918927616.0461475
2017-10-18,31677951784.706745,18332576318.635048,100505684.06881116,2132461802.041116,2434065087.747901,973371847.9802092,920079676.074038
2017-10-19,31981670690.26915,18324377790.165607,100474447.66497701,2133815847.3551276,2440294627.432464,971000719.1866065,922106828.92128
2017-10-20,32223741218.750744,18330461166.789143,100399636.38914084,2135945044.097612,2448546475.4110126,963254930.595676,922724758.9278857
2017-10-21,32408582087.399406,18308001775.43065,100293558.71692164,2137041696.8044815,2451435394.665061,956670640.8468653,924424488.7338938
2017-10-22,32734134248.50905,18285622146.990543,100104510.34537087,2135762201.6088347,2455291552.4759,955063402.2344494,925209131.2464176
2017-10-23,33336962813.24059,18211161022.265106,100091668.92761406,2134541936.31592,2455503457.319749,945649216.3476074,927066428.3797917
2017-10-24,33518492292.434277,18250417187.947254,100170626.64641023,2135492771.858857,2461565451.793077,945927059.7550361,927835264.5916615
2017-10-25,33720776510.097286,18244808295.14472,100257125.98388632,2141960026.2733817,2468154531.0212526,946488626.5329517,928454091.5684371
2017-10-26,33908906231.048466,18268281246.73894,100094526.1899414,2142509146.5043583,2472606632.7680874,944569006.727732,933925546.3065937
2017-10-27,34048449986.63089,18261006863.530006,100258292.1909835,2143026150.510671,2480502640.880566,939148915.739248,934925225.0364455
2017-10-28,34137771791.885464,18258436203.45712,100330980.8059123,2144191758.1333587,2505387714.427308,941423100.7189844,940075837.5889664
2017-10-29,34358491556.46085,18320282027.24178,100771297.95404932,2158468294.5186663,2553844067.917127,948356270.4938736,941813642.2283561
2017-10-30,34590400849.681725,18358088353.297943,100724607.943486,2158814408.2874465,2568130372.4226346,949949682.7851576,942658314.7554637
2017-10-31,34873281542.62206,18379540776.597248,100849107.49085818,2159582514.519221,2575416502.8641567,946814463.4626613,945680141.1688963
