date,btc,eth,doge,ltc,bch,etc,xmr,dash
2021-01-22,20607418304385.63,4289518043626524.0,4019870.5835494935,10285457.637748104,243295960214.2457,110046137545680.14,217490897050.195,184741018.1463816
2021-01-23,20743181502341.64,4345126340793383.0,3930826.305150456,10119633.701178286,250097375409.11435,111785999918769.0,218734816408.89572,184502247.65624547
2021-01-24,20823531150111.52,4378305637984574.5,4067419.680083476,10085073.201372154,262085693790.91345,110886606792072.4,257356456858.9136,191908589.68678263
2021-01-25,20823531150111.52,4429988146451997.5,4171085.848394431,10085073.201372152,251781407831.7778,110145153966813.42,215580240428.74927,193052144.5283951
2021-01-26,20823531150111.52,4438141620857257.5,4208922.8852360975,10271593.58709872,255172881836.5072,101341556353786.08,219570527176.98907,197468152.04381785
2021-01-27,20823531150111.52,4571346649997218.0,4054138.606350584,10492864.91921549,242947338667.3607,106892897590003.94,219858469044.36743,197425728.43720463
2021-01-28,20823531150111.52,4480351542314001.5,3679443.4957042783,10492864.919215493,235449962935.41492,110956745473923.2,218257195847.64465,189294154.24995196
2021-01-29,20823531150111.52,4439482522051969.0,2799888.2273048847,10492864.919215497,218036536686.2975,111180988150971.92,211013074251.21417,182065448.1151573
2021-01-30,20823531150111.52,4449471932440112.0,2923154.9369706195,10011465.856751176,213680384404.32364,104805895778954.31,228329401174.6631,197663150.74255064
2021-01-31,20823531150111.52,4449902740589580.0,3272215.818237273,9885232.324816069,224275146285.3543,104496389287050.31,227609033871.3904,185278026.91431105
2021-02-01,20823531150111.52,4615323550974979.0,3746644.582458752,9885232.32481606,219528216361.9232,104651810485223.12,241709404605.16107,194476353.8680315
2021-02-02,20823531150111.52,4608800682087224.0,3848608.720669509,10146241.851171922,219032873077.2272,107076630152740.64,243862151006.12643,183912400.54601812
2021-02-03,20823531150111.52,4561241973475117.0,3909804.145309167,10489561.435631402,221104345810.79535,107775206114827.02,243610854527.46964,193936474.73536044
2021-02-04,20823531150111.52,4644470253116808.0,4055914.131325519,10489561.43563128,208182182953.80017,106281423330876.88,240598884728.58148,201143891.71453252
2021-02-05,20823531150111.52,4703172360911612.0,4006668.4950306425,10489561.43563128,211487584587.0451,103703262491817.64,226837647451.84872,194421906.98708236
2021-02-06,21403660624934.46,4690614739164749.0,4149142.87151683,10249236.800226891,226106333915.3836,103810073911924.56,236546111728.59644,195200248.72360888
2021-02-07,21434395961348.92,4823899638769312.0,3951732.0275589456,10209434.60694189,228615832786.11627,104000573779782.84,237833255658.2584,184993636.2510474
2021-02-08,21434395961348.92,4855306456131281.0,4104999.5533082183,10209434.60694189,220084018175.20367,102282515588769.16,235079342190.7948,187062358.9527623
2021-02-09,21434395961348.92,4810925029798037.0,4186096.6827704953,10257849.806792824,188880326398.1164,96723119044203.27,234563436632.84924,185496242.75306052
2021-02-10,21434395961348.92,4807885943066506.0,4247065.438382251,10332044.528642308,199292365344.96655,97599351727215.02,234807022737.8753,182776344.4097241
2021-02-11,21434395961348.92,4893209199138060.0,4148468.7679930865,10332044.528642308,199304557496.41608,96600433531163.48,241139826698.50967,195439999.76995128
2021-02-12,21434395961348.92,4999800831413524.0,4516326.993619866,10332044.528642308,198968229736.88196,96089390952132.3,236470744804.33517,193451666.77359855
2021-02-13,21434395961348.92,4989640953336216.0,4171617.398811663,10228116.89153234,234021256227.5544,96336264173609.36,235339657071.09103,197689002.45130527
2021-02-14,21434395961348.92,5020239144826598.0,4390823.153999347,10210761.98514116,275303659374.1701,104722041129331.69,243683905881.73325,169722613.46349752
2021-02-15,21434395961348.92,5056229104672558.0,4251140.496758842,10210761.98514116,283167579137.33014,117064980879885.06,250000708198.09695,171442180.60565603
2021-02-16,21434395961348.92,5070865800248005.0,4150843.774673388,10227021.431407427,264702084767.0841,116627395960994.64,239600613071.12137,190982620.18271407
2021-02-17,21434395961348.92,5095312812257154.0,4382423.680427954,10254377.37180802,256595712598.0904,115098270494576.3,229323130964.57,193702716.68441805
2021-02-18,21434395961348.92,5059295587243820.0,4371158.303352205,10254377.37180802,247945142103.3039,118786752939510.48,241444425946.35663,191950700.93818
2021-02-19,21464695458206.266,5135740855989037.0,4403002.219961185,10254377.37180802,246455526662.8068,113679122414584.22,254837038036.74228,191583423.63259277
2021-02-20,21724134900047.27,5129309564301922.0,4203433.156820682,10413716.752373595,236535501991.16315,112022986466782.81,250716564161.90543,203969706.50844264
2021-02-21,21724134900047.27,5015625379634188.0,4177267.706841265,10424716.51237319,231560194671.38293,108132462090742.95,245481809614.44897,191317078.97361228
2021-02-22,21724134900047.27,5236799581647681.0,4330967.424551733,10424716.51237319,227193593404.02835,107620597212373.84,239820988225.30093,206871558.43417704
2021-02-23,21724134900047.27,5174240710178297.0,4169155.6765054255,10288305.248813283,199810658389.20947,106014462408481.12,248571401930.09897,199838422.6042857
2021-02-24,21724134900047.27,5313277377536753.0,4124685.0035329913,9949369.287207376,191993910016.96893,104326104516952.23,242864893413.5739,217788105.71699008
2021-02-25,21724134900047.27,5251649704714002.0,4025442.868941863,9949369.287207376,200884785484.39996,103790450649367.56,254600274349.46008,212128774.38907224
2021-02-26,21724134900047.27,5258616595127642.0,4276605.4314326,9949369.287207376,197972998268.6901,103964064578711.28,276774666717.1108,215077953.10046944
2021-02-27,21724134900047.27,5331733062064673.0,4152271.8343139663,9929024.87492344,206085139295.7161,107623950908981.31,282005279168.9523,193572535.44122088
2021-02-28,21724134900047.27,5340437681135512.0,4430769.420439873,9921626.906820191,203590580190.5335,106345394937066.62,267705472383.13785,200372793.2108585
2021-03-01,21724134900047.27,5362932560590127.0,4252250.471805405,9921626.906820191,199370618867.44528,103617808504279.42,269426975792.234,197839616.8577092
2021-03-02,21724134900047.27,5334909367048460.0,4189602.060816453,10062536.22873648,198917594345.30627,96090084712340.1,277332039698.1413,203109016.14130625
2021-03-03,21724134900047.27,5257453416582124.0,3759026.878807116,10318856.99526992,200194179780.3244,103044654136861.72,276388287664.54565,194868046.04713133
2021-03-04,21724134900047.27,5214411604827352.0,4035745.451736609,10318856.99526992,195804340688.272,113667640575901.36,269090152662.29184,210233856.69728112
2021-03-05,21724134900047.27,5386832762877237.0,4371177.753562695,10318856.99526992,199751763838.30725,118818324554173.88,272179498292.03323,190580815.1804045
2021-03-06,21464611407447.13,5517413005835356.0,4422954.756906287,9938047.909600385,202174583175.7412,117809251243807.23,273818132623.41595,218087053.0395484
2021-03-07,21448277761059.71,5517677569288337.0,4112754.1494233455,9801515.926401367,201450167467.17056,117381829571689.52,246049264673.45856,207131813.28357035
2021-03-08,21448277761059.71,5509022496598558.0,4135722.4262765767,9801515.926401367,210178697518.10825,113155630683302.73,263788154502.51196,200661394.38861057
2021-03-09,21448277761059.71,5481496676447878.0,4240817.312130674,10097129.60647672,214779727368.06152,115575723971611.2,252934654277.5457,213765520.7445999
2021-03-10,21448277761059.71,5465561517676389.0,4117125.5774905416,10495669.50714511,198009613075.3773,114679242082280.88,251452050824.48752,208479054.31559488
2021-03-11,21448277761059.71,5521308692584692.0,4164191.122642024,10495669.50714511,183993273477.1512,116079955796557.95,241670593575.66663,216074387.57308447
2021-03-12,21448277761059.71,5421232736179328.0,3958199.1163444207,10495669.50714511,186502390042.88528,118664544557030.31,254527179610.14304,178591259.83046436
2021-03-13,21448277761059.71,5525856057131938.0,4013949.591914379,9924222.723112514,185791888909.42795,114414406719704.84,260432291479.8252,157650172.9839751
2021-03-14,21448277761059.71,5619282219072090.0,4178331.4343154496,9670734.790708313,197695850966.68127,113590468924020.88,275436804401.77716,167549399.4401987
2021-03-15,21448277761059.71,5625633104099270.0,4179306.8552320977,9670734.790708313,186247855727.23856,114643570477130.44,278601244881.3104,151765801.82614133
2021-03-16,21448277761059.71,5670987085871922.0,4125575.6604538094,9856727.099806255,182123760153.07733,110606645547412.69,264952801806.087,160106556.8120981
2021-03-17,21448277761059.71,5730822605561002.0,4255605.184771296,10239479.69379202,182531528870.0017,107458032609842.48,263113557567.52597,157851769.16008908
2021-03-18,21448277761059.71,5661062933530017.0,4126913.41586594,10239479.69379202,172122516452.41687,105702462001293.77,256398072770.8471,168438827.74577147
2021-03-19,21538500525070.703,5751325869948864.0,4177634.876949976,10239479.69379202,175450735244.13647,104916281415675.4,256339062500.44336,145020589.33985063
2021-03-20,21865558044610.55,5867746634520933.0,4199896.917042273,9980174.658361828,184867442292.62213,106616808369035.4,271782484864.88876,137371937.7324254
2021-03-21,21865558044610.55,5881925489369017.0,4410540.731027312,9873514.705364682,188364700941.51532,105502679560058.8,260113865661.2208,163528142.37750337
2021-03-22,21865558044610.55,5775729372419965.0,4172610.0514861224,9873514.705364682,186489607357.8919,92586733413032.25,253964317862.07715,171093337.1283916
2021-03-23,21865558044610.55,5821129870581709.0,3854734.9775688886,9996479.049531568,194040354456.6496,100449130171366.12,268202608738.68542,185075540.59524328
2021-03-24,21865558044610.55,5805481367952020.0,4002313.052083594,10283148.936233887,188933570725.31473,107151703240235.8,260772881341.0283,193420770.5753703
2021-03-25,21865558044610.55,5928278169675606.0,4194699.152025192,10283148.936233887,185040533124.96063,108997647658757.84,245748437018.6732,186791782.48689577
2021-03-26,21865558044610.55,6049460956073686.0,4170222.728665264,10283148.936233887,184381907246.51367,105726680270997.52,246862501898.46417,194044342.0866934
2021-03-27,21865558044610.55,6034324860034268.0,4016536.9151686174,9845369.822040135,187420966328.85825,106795488667952.88,250172133713.6252,203028530.91288608
2021-03-28,21865558044610.55,6077682496721834.0,4105823.57560802,9487318.692219412,186155773960.29733,109478257083145.66,252242988687.332,195175132.87515032
2021-03-29,21865558044610.55,6174428519811498.0,4098839.390967376,9487318.692219412,184208335909.31967,110739402095914.44,253260307616.24167,209581203.6785632
2021-03-30,21865558044610.55,6159975992704785.0,4161722.2694938094,9557048.43263052,178161429122.34933,112128982502450.3,254232354615.22943,210609338.62864763
2021-03-31,21865558044610.55,6173046521626454.0,4103902.1272563534,9849192.00021499,178615595817.31332,112975618829527.56,259283239056.246,230268578.23776856
2021-04-01,21865558044610.55,6211127769349121.0,4160723.070886788,9849192.00021499,184531450151.79065,117883871513421.34,271127113270.3369,234422481.61117056
2021-04-02,23110185060289.305,6288900218108246.0,4225719.0705406,9849192.00021499,198306021039.14587,117056522071469.12,272737348492.1523,226458439.24482557
2021-04-03,23137439666472.047,6254700519321288.0,4391245.0477183405,9652493.722383123,207299651372.7927,115919517356523.16,265411811114.708,233704124.4250853
2021-04-04,23137439666472.047,6363505797756233.0,4327295.848531076,9525538.878242336,206130349591.25092,117738243023606.52,268819543258.41687,246529634.90667692
2021-04-05,23137439666472.047,6540983585044012.0,4232085.362506485,9525538.878242336,216305405982.64868,120825100291077.2,278533972076.5389,193018145.13801733
2021-04-06,23137439666472.047,6467737010246664.0,4344998.50218763,9934519.50492197,230167165949.9356,121546346631420.0,265656754755.9106,198968815.02440968
2021-04-07,23137439666472.047,6592972083533022.0,4582548.014186009,10653503.71164188,237088582240.55676,127056744264813.36,268542264474.1515,202419596.0819874
2021-04-08,23137439666472.047,6629624594712130.0,4609894.465803548,10653503.71164188,232468304496.0479,132292865374864.64,267174068255.16714,198116035.8521228
2021-04-09,23137439666472.047,6580640842420256.0,4446238.974588534,10653503.71164188,223205889176.6912,132602105936056.95,252967713695.836,220201993.90819275
2021-04-10,23137439666472.047,6541039096008386.0,4312505.9672872815,10416558.241561664,235429424464.48605,133973824935910.84,284503622659.5047,207052229.5327172
2021-04-11,23137439666472.047,6462380476994726.0,4463603.443590464,10369169.14754562,249819976351.66483,135790796060328.86,294507283968.83026,192505921.15559143
2021-04-12,23137439666472.047,6846624570402867.0,4568675.670401364,10369169.14754562,243309043571.44144,138366728977073.2,281561825976.42377,220201573.2575048
2021-04-13,23137439666472.047,6842096246663414.0,4477834.240870792,10684050.62977382,238940366961.27884,137289828876885.31,277465184309.5692,170062415.86026853
2021-04-14,23137439666472.047,6844231571180677.0,4181073.247597243,10994618.66703999,252165246633.058,134541724577140.38,280470768709.08685,173785207.6264666
2021-04-15,23230483294256.38,6826078661445708.0,4201570.001440407,10994618.66703999,266907687529.23648,136841721293994.48,265504208980.40567,161365495.35054073
2021-04-16,23581981443663.848,6600300125535506.0,4115047.7688597296,10994618.66703999,299882851232.2081,149129438274115.84,272365629184.09296,157754629.79510936
2021-04-17,23581981443663.848,6677553879182916.0,4412214.414751192,10293641.927227419,334834776271.91833,174712740765499.44,282671778854.54144,193513768.7266896
2021-04-18,23581981443663.848,6745429779641086.0,4517375.413077365,10051697.23689022,311206674375.22894,178220014236198.72,283213705729.1576,179451040.9595842
2021-04-19,23581981443663.848,6594483243006433.0,4407625.323913303,10051697.23689022,312183476257.9588,172322431357389.62,280106033541.67865,184730369.1416808
2021-04-20,23581981443663.848,6664511517379862.0,4388013.518591578,10374663.44604446,289179494504.9712,165145673475911.12,307199880835.5444,167978764.25651732
2021-04-21,23581981443663.848,6857228919167014.0,4534032.114326891,10794388.762394708,290130567187.8738,159572287128325.03,290140281009.7448,161531302.55583295
2021-04-22,23581981443663.848,6918022708259517.0,4390184.601378159,10794388.762394708,296616328875.21155,163388226313733.8,290309423640.13855,164788784.2681868
2021-04-23,23581981443663.848,6891671911442450.0,4458665.54944225,10794388.762394708,295492578053.70905,169010040439245.53,284010880550.90985,169348904.8475608
2021-04-24,23581981443663.848,6872911345805312.0,4435724.867926434,10499837.203843514,307235627901.91174,175085341883898.3,264140738153.35312,193428769.10207716
2021-04-25,23581981443663.848,7091046444361071.0,4642811.053576599,10447499.530216647,323664715474.3285,177151934716299.9,280591378288.80725,199472682.2668534
2021-04-26,23581981443663.848,7171488270515422.0,4599754.724397618,10447499.530216647,316568337678.2509,180453316230393.62,295898744232.2763,193932571.76591748
2021-04-27,23581981443663.848,7106296049060043.0,4686164.987831397,10655857.495862637,307630380619.3381,180863003522329.9,256982354728.7053,189208152.67811528
2021-04-28,23581981443663.848,7294759470958874.0,4554925.234713941,10917326.31549682,323219914539.6543,178609231664464.47,268526987690.50537,184054714.3227944
2021-04-29,23581981443663.848,7254432280784067.0,4713935.465179909,10917326.31549682,322778511155.9315,177506675948541.6,280736177619.9624,170789946.01650766
2021-04-30,23581981443663.848,7265124863008355.0,4588969.245710914,10917326.31549682,338089846183.7726,179986506317715.7,290397752099.14905,182031380.20462343
2021-05-01,22897518547342.54,7262694444604962.0,4726454.334952359,10826591.49787874,352464076097.55927,178781928847718.2,278313859345.76416,185541560.10907143
2021-05-02,20608845737768.16,7323313591975475.0,5022320.654468236,10821799.71023622,328256543484.7297,183809413313677.03,282164718862.8349,174315535.26840124
2021-05-03,20608845737768.16,7273492281798242.0,4871542.168224358,10821799.71023622,328044187814.6873,192312372947542.38,281268530118.81085,141619164.18489507
2021-05-04,20608845737768.16,7481514822458774.0,5193938.828936631,11489183.460472764,334288956374.44244,210863023651772.2,290966369073.22437,161595254.76533592
2021-05-05,20608845737768.16,7393633027372762.0,5138351.017771364,11752138.80906827,391880952549.4011,252699800951590.53,285323176015.2133,183630860.77816808
2021-05-06,20608845737768.16,7615430053247213.0,5238050.678527268,11752138.80906827,456892248353.4045,314101093290463.4,305381119056.0709,165361278.19090557
2021-05-07,20608845737768.16,7423584727843146.0,5228795.076806337,12106957.751770344,465057177643.69446,413944837927106.94,301838116820.8892,188328188.3080623
2021-05-08,20608845737768.16,7562308324076466.0,5247200.999623798,12567953.57505372,450643270406.9294,402843456484019.44,299234889991.63586,190276082.411116
2021-05-09,20608845737768.16,7685927443713922.0,5252586.461879353,12567953.57505372,450306725766.4907,386830073981596.5,312504736658.164,183918912.9619008
2021-05-10,20608845737768.16,7631052199128158.0,5174974.908137505,12567953.57505372,477655305822.1594,369747365352222.0,322143177670.8124,186548617.43931973
2021-05-11,20608845737768.16,7715669061072282.0,4996454.455968679,12387425.394181108,472370483107.5458,359866507777153.06,322400464788.00287,180522484.0448613
2021-05-12,20608845737768.16,7735683435525278.0,4879006.498672476,12368327.60259179,506276916826.38885,354352443243621.06,301217207499.572,165057441.31425864
