"Date","Open","High","Low","Close","Adj Close","Volume"
2017-01-26,1.29064,1.35644,1.28717,1.33294,1.33294,948543
2017-01-27,1.33234,1.34786,1.27818,1.28074,1.28074,1341760
2017-01-28,1.28072,1.31331,1.28072,1.30491,1.30491,513562
2017-01-29,1.30479,1.30944,1.2937,1.2985,1.2985,308654
2017-01-30,1.29894,1.35027,1.29363,1.3501,1.3501,564097
2017-01-31,1.34864,1.38108,1.33491,1.35973,1.35973,1080040
2017-02-01,1.35983,1.37821,1.34715,1.35627,1.35627,738198
2017-02-02,1.35482,1.37167,1.32843,1.35834,1.35834,486080
2017-02-03,1.35993,1.37616,1.34882,1.36408,1.36408,985487
2017-02-04,1.36286,1.39895,1.36286,1.39381,1.39381,888228
2017-02-05,1.39081,1.39132,1.36494,1.38843,1.38843,734278
2017-02-06,1.38957,1.5001,1.38831,1.47336,1.47336,2217650
2017-02-07,1.47852,1.53095,1.47066,1.47099,1.47099,1381580
2017-02-08,1.47797,1.49818,1.41787,1.45474,1.45474,1227740
2017-02-09,1.45547,1.47574,1.2014,1.27246,1.27246,4496600
2017-02-10,1.27471,1.27848,1.20833,1.25889,1.25889,1814640
2017-02-11,1.25727,1.28624,1.23074,1.23548,1.23548,1627780
2017-02-12,1.23535,1.23535,1.20905,1.22579,1.22579,1574630
2017-02-13,1.22694,1.23002,1.17934,1.19333,1.19333,1459080
2017-02-14,1.19558,1.25167,1.18839,1.24788,1.24788,1588940
2017-02-15,1.24862,1.27975,1.24477,1.26177,1.26177,1164420
2017-02-16,1.26206,1.26668,1.23364,1.23525,1.23525,1067180
2017-02-17,1.23429,1.2539,1.2257,1.22981,1.22981,781116
2017-02-18,1.23263,1.24189,1.2109,1.22037,1.22037,1130150
2017-02-19,1.22057,1.23873,1.21676,1.22285,1.22285,642421
2017-02-20,1.22358,1.23547,1.21601,1.22389,1.22389,609461
2017-02-21,1.22203,1.25168,1.21331,1.24315,1.24315,1034130
2017-02-22,1.24331,1.24762,1.20814,1.21243,1.21243,1014370
2017-02-23,1.21265,1.2324,1.1986,1.22267,1.22267,1254060
2017-02-24,1.23096,1.24179,1.20066,1.20861,1.20861,2141280
2017-02-25,1.20644,1.21989,1.17456,1.21149,1.21149,1337270
2017-02-26,1.21243,1.25072,1.19526,1.2483,1.2483,1486190
2017-02-27,1.2468,1.25833,1.23025,1.23391,1.23391,1284690
2017-02-28,1.23602,1.25594,1.23052,1.23705,1.23705,1444190
2017-03-01,1.23664,1.42378,1.23168,1.39994,1.39994,4561930
2017-03-02,1.39872,1.40187,1.34313,1.36355,1.36355,3776100
2017-03-03,1.36566,1.43947,1.35352,1.43947,1.43947,4159960
2017-03-04,1.44049,1.4825,1.39706,1.43287,1.43287,2412650
2017-03-05,1.43426,1.43503,1.38877,1.39821,1.39821,1580650
2017-03-06,1.39791,1.43587,1.39791,1.42989,1.42989,1172880
2017-03-07,1.43313,1.43544,1.35373,1.37375,1.37375,2220840
2017-03-08,1.37401,1.37408,1.28639,1.28639,1.28639,1960780
2017-03-09,1.28793,1.33139,1.27943,1.32497,1.32497,1248670
2017-03-10,1.32633,1.3805,1.23352,1.29706,1.29706,4351910
2017-03-11,1.29836,1.38981,1.29609,1.38419,1.38419,1985600
2017-03-12,1.38501,1.4345,1.37091,1.42378,1.42378,3137590
2017-03-13,1.42458,1.66996,1.41821,1.64799,1.64799,9504840
2017-03-14,1.65148,1.78182,1.62862,1.655,1.655,9565220
2017-03-15,1.65665,1.80128,1.64181,1.80128,1.80128,5906800
2017-03-16,1.81008,2.13365,1.79915,2.13338,2.13338,19379700
2017-03-17,2.08957,2.22015,1.80936,1.90523,1.90523,20132500
2017-03-18,1.90522,1.91388,1.64559,1.69771,1.69771,9267590
2017-03-19,1.70835,1.99751,1.70835,1.92197,1.92197,6790520
2017-03-20,1.93477,2.01155,1.93477,1.95108,1.95108,6100770
2017-03-21,1.94741,2.42539,1.90812,2.42539,2.42539,21455000
2017-03-22,2.42563,2.50691,2.25173,2.40073,2.40073,18969200
2017-03-23,2.39487,2.40041,2.24331,2.28985,2.28985,7279450
2017-03-24,2.28923,2.48211,2.27054,2.41294,2.41294,12123700
2017-03-25,2.42161,2.43064,2.2811,2.2811,2.2811,7542960
2017-03-26,2.28405,2.37749,2.27592,2.31098,2.31098,4810060
2017-03-27,2.35884,2.37373,2.12368,2.13444,2.13444,7221650
2017-03-28,2.13837,2.34972,2.13792,2.26758,2.26758,7125770
2017-03-29,2.26793,2.38207,2.25175,2.32741,2.32741,5549740
2017-03-30,2.32717,2.98556,2.2801,2.8304,2.8304,19426400
2017-03-31,2.8018,2.98654,2.60214,2.82794,2.82794,24881200
2017-04-01,2.81769,2.81932,2.74751,2.7557,2.7557,6321790
2017-04-02,2.75355,2.81509,2.52347,2.64483,2.64483,10883300
2017-04-03,2.65131,2.77304,2.51336,2.60233,2.60233,9722960
2017-04-04,2.6015,2.70617,2.58195,2.67488,2.67488,6273250
2017-04-05,2.67752,2.79689,2.64928,2.75723,2.75723,5603160
2017-04-06,2.75024,2.81398,2.45945,2.67574,2.67574,10892200
2017-04-07,2.66957,2.73581,2.55789,2.7316,2.7316,5287300
2017-04-08,2.70552,2.77327,2.62628,2.71552,2.71552,6855690
2017-04-09,2.71635,2.71866,2.58212,2.64394,2.64394,6335860
2017-04-10,2.64355,2.64602,2.53013,2.60254,2.60254,5163570
2017-04-11,2.59809,2.60004,2.53527,2.53527,2.53527,3092580
2017-04-12,2.53598,2.66009,2.52355,2.61835,2.61835,4452230
2017-04-13,2.62048,2.66313,2.5982,2.62402,2.62402,5216010
2017-04-14,2.62593,2.69674,2.54962,2.64385,2.64385,6137310
2017-04-15,2.63966,2.68357,2.61577,2.67902,2.67902,3488550
2017-04-16,2.67827,2.68871,2.61364,2.62609,2.62609,3454270
2017-04-17,2.62704,2.64562,2.58979,2.61763,2.61763,3539730
2017-04-18,2.62118,2.95861,2.61247,2.88552,2.88552,12008300
2017-04-19,2.88547,3.28751,2.81814,3.1444,3.1444,18424100
2017-04-20,3.15374,3.47167,3.0962,3.27811,3.27811,25077400
2017-04-21,3.27857,3.36295,3.13655,3.18148,3.18148,12069800
2017-04-22,3.18027,3.25557,3.17409,3.23089,3.23089,5842940
2017-04-23,3.22984,3.53771,3.1852,3.53771,3.53771,17227400
2017-04-24,3.57126,4.1129,3.57126,4.04832,4.04832,42912000
2017-04-25,4.05318,4.12602,3.82815,3.9606,3.9606,25195800
2017-04-26,3.97248,4.637,3.92401,4.58719,4.58719,46981900
2017-04-27,4.59543,5.11451,4.58712,4.94634,4.94634,57485800
2017-04-28,4.94953,5.08719,4.61413,4.84418,4.84418,29110500
2017-04-29,4.87529,5.42969,4.82992,5.41729,5.41729,36329100
2017-04-30,5.44453,6.60525,5.33287,6.51635,6.51635,82888200
2017-05-01,6.49038,7.64257,6.24045,6.88515,6.88515,118589000
2017-05-02,6.93836,7.0755,6.22456,6.58451,6.58451,56020100
2017-05-03,6.54452,6.84807,6.44454,6.66565,6.66565,35759200
2017-05-04,6.67299,7.63049,6.66796,7.63049,7.63049,61868400
2017-05-05,7.6793,8.09699,7.30936,7.53191,7.53191,60387300
2017-05-06,7.54662,7.58469,6.98201,7.27015,7.27015,31552400
2017-05-07,7.28967,7.54519,6.92708,7.12326,7.12326,36206300
2017-05-08,7.11414,7.11414,6.56953,6.66161,6.66161,38785200
2017-05-09,6.66436,6.66436,5.63986,6.44296,6.44296,58464400
2017-05-10,6.42539,6.80528,6.29064,6.59603,6.59603,34371500
2017-05-11,6.62176,6.83902,6.30822,6.48302,6.48302,21112300
2017-05-12,6.47642,6.67192,6.33909,6.3395,6.3395,18365500
2017-05-13,6.32745,6.36926,6.00893,6.14192,6.14192,12663500
2017-05-14,6.17433,7.07679,6.17433,6.82562,6.82562,29682700
2017-05-15,6.82581,6.82581,6.35621,6.40949,6.40949,19609300
2017-05-16,6.3867,6.50512,6.02587,6.25582,6.25582,22364100
2017-05-17,6.23719,6.28062,5.73542,5.92805,5.92805,29290700
2017-05-18,5.92498,6.76082,5.8862,6.72943,6.72943,41864200
2017-05-19,6.71523,8.22098,6.61831,7.99266,7.99266,90591104
2017-05-20,7.98743,8.20741,7.40923,7.40923,7.40923,38813800
2017-05-21,7.39159,9.40067,7.36999,9.40067,9.40067,64632100
2017-05-22,8.99672,11.0001,8.93834,9.90028,9.90028,169832000
2017-05-23,9.96876,11.9406,9.84444,11.9406,11.9406,116546000
2017-05-24,12.0216,21.2966,11.9026,18.871401,18.871401,319905984
2017-05-25,19.224701,22.346701,15.7603,16.354,16.354,575964032
2017-05-26,16.521,17.991301,13.1698,14.2575,14.2575,321918016
2017-05-27,13.9584,16.264,10.5786,16.264,16.264,220003008
2017-05-28,16.555201,17.3601,14.1047,16.130699,16.130699,159008992
2017-05-29,16.2299,17.4168,15.2411,17.1015,17.1015,100235000
2017-05-30,17.1313,18.858,16.8827,18.5422,18.5422,151988992
2017-05-31,18.7414,18.7414,16.6817,17.678801,17.678801,169218000
2017-06-01,17.621,17.935301,16.627199,16.834299,16.834299,129554000
2017-06-02,16.8351,17.5142,16.8351,17.3839,17.3839,74579104
2017-06-03,17.390699,17.5334,16.1446,16.2616,16.2616,94317504
2017-06-04,16.360201,17.551201,16.085899,17.4832,17.4832,105612000
2017-06-05,17.4277,17.4277,16.902599,17.3069,17.3069,65380500
2017-06-06,17.347799,17.8328,16.778299,17.4918,17.4918,94322304
2017-06-07,17.497,18.3818,17.007401,17.510599,17.510599,133332000
2017-06-08,17.5317,17.783899,17.169701,17.536699,17.536699,52434000
2017-06-09,17.5394,17.6576,17.325701,17.4461,17.4461,57805600
2017-06-10,17.446301,19.6569,17.432501,19.6569,19.6569,195638000
2017-06-11,19.503099,22.1469,18.1616,21.567301,21.567301,415108992
2017-06-12,21.566799,22.935699,18.02,20.326599,20.326599,315523008
2017-06-13,20.257601,21.0194,19.7999,20.7418,20.7418,153774000
2017-06-14,20.759501,21.0555,18.1199,18.8367,18.8367,126599000
2017-06-15,18.8585,18.9282,16.101999,18.3564,18.3564,178224992
2017-06-16,18.3269,18.5613,17.5895,18.398001,18.398001,89917104
2017-06-17,18.379101,23.9986,18.334299,23.2729,23.2729,415396992
2017-06-18,23.0299,24.619301,21.7262,22.065399,22.065399,489568992
2017-06-19,22.0511,23.664101,21.972099,22.945299,22.945299,270192000
2017-06-20,23.0217,23.044201,21.420099,21.680799,21.680799,161372992
2017-06-21,21.6929,21.913099,19.837799,20.701,20.701,166312992
2017-06-22,20.7628,21.046499,20.276199,20.791401,20.791401,89949504
2017-06-23,20.7995,21.5609,20.608801,21.3414,21.3414,77701104
2017-06-24,21.3591,21.3801,20.122,20.188601,20.188601,64584600
2017-06-25,20.1376,23.864599,19.451,21.4168,21.4168,441712000
2017-06-26,21.5285,22.4662,17.702801,19.580099,19.580099,269996000
2017-06-27,19.6826,20.236,16.563999,19.1448,19.1448,304732992
2017-06-28,19.1576,19.8424,18.0749,19.652399,19.652399,181039008
2017-06-29,19.623199,19.663401,18.3258,18.662001,18.662001,102812000
2017-06-30,18.5973,19.812599,18.5973,18.917299,18.917299,120634000
2017-07-01,18.750799,18.791,17.506701,17.810101,17.810101,64563300
2017-07-02,17.737301,18.115801,16.9695,17.9055,17.9055,88689504
2017-07-03,17.914499,18.323799,17.531601,17.854,17.854,80328000
2017-07-04,17.8382,18.5853,17.8382,18.050699,18.050699,85616704
2017-07-05,18.0474,18.0474,17.3881,17.771299,17.771299,57671900
2017-07-06,17.7712,18.1805,17.4988,17.913601,17.913601,62603300
2017-07-07,17.956301,18.167999,16.674999,16.746799,16.746799,63005000
