CHIA_IMPACT,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,brand,product,drive_type,drive_subtype,capacity
1,6004.193548387097,1.0,1.1878959406252159,1.142405845376887,1.0167060656530382,1.0426744748294203,1.0717731334730207,1.1375006715736313,1.1443023693117715,1.0951734450831856,1.0677268575726644,Samsung Electronics,970 evo,ssd,nvme,512gb
1,12619.064516129032,1.0,0.9897581086623013,0.9977351217180355,0.9590621120288214,1.0821312351255525,0.9422753420537112,1.1333057253362169,1.2116945430748662,0.879642595731156,0.7630415832675087,Samsung Electronics,970 evo,ssd,nvme,1tb
0,69999.0,1.0,1.0,1.0,1.0,1.0,1.0,0.890312718753125,1.0,1.0,1.0,Samsung Electronics,970 evo,ssd,nvme,2tb
1,2954.935483870968,1.0,0.923950556828301,0.9868454089931552,0.986124180794661,0.9426656332216193,1.1083377909748224,1.0973548901236858,1.168848181828106,1.1187610303883788,1.1093304804427802,SanDisk,ssd plus,ssd,sata,256gb
1,4659.548387096775,1.0,1.042590310565886,1.0679700372457526,1.0401937979129454,1.0611370339088655,1.1180339596342808,0.7619525635877767,0.7194107140384641,1.0050759453359732,1.1628705537017292,SanDisk,ssd plus,ssd,sata,512gb
0,8398.90322580645,1.0,1.0278935641146913,0.9965702127005832,0.9330464295133262,0.9943041718196693,0.9760917324074573,1.0002035596045569,1.028371599978492,1.0004957124458136,0.909727076500004,SanDisk,ssd plus,ssd,sata,1tb
0,15580.41935483871,1.0,1.0196887650841433,1.0397065795984621,1.0866267212982381,0.9887348263846473,1.0103964239647365,1.099740575950376,1.0893863886226094,0.9145453453776763,0.9645791967999536,SanDisk,ssd plus,ssd,sata,2tb
0,2612.6451612903224,1.0,1.504085941468646,1.4902336033188464,1.4154237455551166,1.213317364677993,1.2206658270775714,1.415806499407349,1.251950809956539,1.1846486895825104,1.3521053225715414,SanDisk,ultra 3d nand,ssd,sata,256gb
1,5381.5161290322585,1.0,1.0139601417721864,0.9984474935112421,0.9664314929038265,1.0817313744178099,1.013060236052917,0.9986632859189458,1.0087575752126454,0.8360097586122149,0.8740551589371025,SanDisk,ultra 3d nand,ssd,sata,512gb
0,8008.096774193548,1.0,1.040589679684789,1.2277453061619086,0.9830425657902687,0.930783763207399,0.9492600902581124,1.1731956769559841,1.1722329416598525,1.0987629455671881,1.0939067493965562,SanDisk,ultra 3d nand,ssd,sata,1tb
0,19894.90322580645,1.0,0.958472331796996,0.9206718530601126,0.9128100026699442,0.7865185117926135,0.9019445732575372,0.8784499839479069,0.8527958206186703,0.9248097259469925,0.9248097259469925,SanDisk,ultra 3d nand,ssd,sata,2tb
