CHIA_IMPACT,SECOND_HAND,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,brand,product,drive_type,drive_subtype,capacity
0,0,20999.0,1.0,0.9753389617192656,1.0154231614715907,1.00850040478118,0.9497917719584188,1.0572741559121863,1.2122343767521957,1.1751988189913805,1.0482927758464688,0.9130957080905543,Crucial,p2,ssd,nvme,2tb
0,0,4584.612903225807,1.0,1.119677020206843,1.234923270688066,1.2029223512966467,1.1809840771725897,1.2397702459606583,1.1530857074505885,1.0714240481836155,1.0399787508003628,1.0639375751989473,Kingston,kc600,ssd,sata,256gb
0,0,7131.5161290322585,1.0,1.0310670684228314,1.1005758174753593,1.108745067706425,1.1447776114204553,1.1687884010246807,1.140729248180498,1.1237577857488565,1.1386498821677515,1.1458405894778743,Kingston,kc600,ssd,sata,512gb
0,0,12670.58064516129,1.0,1.0551297937527915,1.070345835412487,1.082055120489085,1.0829786042343452,1.0933726760152211,1.0934422640202859,1.091150951658401,1.1175388929057575,1.1261914824281802,Kingston,kc600,ssd,sata,1tb
0,0,27498.322580645163,1.0,1.0563917095236308,1.3495227861406207,1.691632881614675,1.7139626112091293,1.7696618835792133,1.733840656556177,1.7649756935320393,1.1086942937672835,1.0335105484440106,Kingston,kc600,ssd,sata,2tb
0,0,2502.6774193548385,1.0,1.1198863521279516,1.1383679414304682,1.169014689644209,1.2755887243339392,1.3514992545617812,1.238866762048387,1.1815861722284522,1.1255012910904023,1.1252336207674363,Kingston,q500,ssd,sata,128gb
0,0,3281.967741935484,1.0,1.1159463736350144,1.0468346094494845,1.1032405814764943,1.1858247903991508,1.163387424931935,1.1595915117799116,1.092440608997356,1.015366469761453,1.0277960704140907,Kingston,q500,ssd,sata,256gb
0,0,5465.580645161291,1.0,1.0427071467777822,1.0595338570408361,1.0723959716623481,1.0833190700748967,1.0977912606556377,1.0876983822513913,1.0104052929476546,1.0066085119191657,1.011715545377819,Kingston,q500,ssd,sata,512gb
0,0,10142.774193548386,1.0,1.0580192159681452,1.0698383721447973,1.0736937573016652,1.0576987908124647,1.102186948068332,1.0971293722529307,1.0346122776106301,1.0304445773144293,1.0320774999522941,Kingston,q500,ssd,sata,1tb
0,0,19774.322580645163,1.0,1.0977565865335766,1.1101591506743838,1.0970523302729944,1.11136795192201,1.2160922277831792,1.2396607526215162,1.2520864464179677,1.2341493149582492,1.2081797182400114,Kingston,q500,ssd,sata,2tb
0,0,2159.7419354838707,1.0,1.0992054008842156,1.1570826861034773,1.1570826861034773,1.1570826861034773,1.2443461982713986,1.24744593141355,1.3635888397658025,1.2188801927749235,1.065987573186761,Kingston,a400,ssd,sata,128gb
0,0,2849.548387096774,1.0,1.0934314112350247,1.1940884803477632,1.1792862856970356,1.1820775221880095,1.2132799764535411,1.1875905633037493,1.1857792972287629,1.0997415172372156,0.9933322767614563,Kingston,a400,ssd,sata,256gb
0,0,4837.645161290323,1.0,1.0786682593980197,1.1093907326278447,1.100817957728478,1.1106643461561543,1.1155358623341578,1.0985550154367292,1.0719224896143817,1.045777404362293,0.9282373156577204,Kingston,a400,ssd,sata,512gb
