CHIA_IMPACT,base_price,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,asin,brand,product,drive_type,drive_subtype,capacity
1,15963.935483870968,1.0,1.020988841784506,0.9417780400176203,0.9499954871396952,0.9622738349748021,0.9763047891551252,0.966921407527451,0.9375346042086801,0.999690835391063,1.1841550106894168,B085Z4P89R,Seagate,ironwolf,hdd,35,6tb
1,19774.322580645163,1.0,1.0977565865335766,1.1101591506743838,1.0970523302729944,1.11136795192201,1.2160922277831792,1.2396607526215162,1.2520864464179677,1.2341493149582492,1.2081797182400114,B08HRB31QC,Kingston,q500,ssd,sata,2tb
1,26274.967741935485,1.0,0.9888662405457491,0.9514378950159847,0.9685733426311972,1.1422045268156615,1.077316895102743,1.0385439839710064,1.0113465042159593,0.9406329340817459,0.8936876015930777,B07XGDNZXT,Western Digital,wd gold,hdd,35,8tb
1,29411.0,1.0,0.9825454033233436,0.9726238043479454,0.9988258361384063,1.225146176381231,1.1165731642356034,1.0374371669147269,1.0116612064171733,0.9955980188818242,0.9145733272936064,B07XDD5MV8,Western Digital,wd gold,hdd,35,10tb
1,7193.0,1.0,1.0,1.0,1.0,1.0232394397779203,1.0418601418045321,1.0685926729840391,1.0419628402165189,1.0414569720561657,1.0399806263257738,B07YFGQLYK,Western Digital,wd red,ssd,sata,512gb
0,37497.0,1.0,1.0,1.0,1.0,0.5096794840361423,0.4000053337600341,0.4000053337600341,0.4000053337600341,0.4000053337600341,1.0,B013JPLKQK,Toshiba,x300,hdd,35,5tb
1,18999.0,1.0,1.0,1.0,1.021053739670509,1.0424470557873164,1.06142428548871,1.0435999178225,1.052515497420068,1.038423074898679,0.935480475203279,B086NKQ389,Western Digital,wd green,ssd,sata,2tb
1,14076.451612903225,1.0,0.9925949145384487,1.006799275843894,1.4183806555598841,1.299830419139721,1.7067724637349038,1.7488347044938928,1.62584274812659,1.4291906715249292,1.8043953525677752,B07BN217QG,Samsung Electronics,970 evo,ssd,nvme,1tb
1,20998.709677419356,1.0,1.0794336715883355,0.8614169841464913,0.8537921428864036,0.898147351603785,0.9206391073696284,0.9285808651837286,0.827017021015116,0.8749537605997296,0.8755637827209045,B07ZPRMLJP,Seagate,firecuda 520,ssd,nvme,1tb
0,28900.0,1.0,1.0,1.0,1.0,0.9215314209175131,1.0,1.0,1.0,0.9083581911466412,1.0,B06Y2TSZBV,Toshiba,n300,hdd,35,8tb
1,9208.612903225807,1.0,1.051154899565574,1.035391131023901,1.032403044835305,1.0435707104498944,1.0548385627760828,1.0108909260965364,0.9969943986520333,0.9814688446183505,0.927143943082738,B079XC5PVV,Kingston,a400,ssd,sata,1tb
1,19215.25806451613,1.0,0.9903922597993003,1.0016015498436222,1.0364818728843956,1.2947808613114913,1.2988861897942887,1.3401581068807886,1.3107376026779793,1.2966483848241122,1.3048887560792581,B07RRCQVN1,Western Digital,wd purple,hdd,35,8tb
1,17895.709677419356,1.0,1.0746250871343928,1.0552177761114125,1.0566722606067052,1.061651107582102,1.1013310092345072,0.9980442239715052,1.0717454354711076,1.061651107582102,1.1165173847759509,B0792GSD6N,WD_BLACK,wd black,hdd,35,6tb
0,55524.8064516129,1.0,0.9842537685858516,0.9751665776819313,0.9941322361583228,1.0341027462877679,1.0244832349466197,1.041876661927915,1.0532996295175245,1.0725224238628592,1.0139280960733041,B07YFGTXHT,Western Digital,wd red,ssd,sata,4tb
1,5240.935483870968,1.0,1.045151470654182,0.9630698779459466,0.9538373474324332,0.9538373474324332,1.0861292513238423,1.1064818519225206,1.0566261871495486,1.011079036616216,1.0,B085LTNV9M,ADATA,su650,ssd,m2,512gb
1,9999.0,1.0,1.0,1.0,0.8811747841450812,0.9125783546096545,1.072123879054572,0.926757191848217,0.9807335572266904,0.9915258192485915,0.9896279950575704,B07ZPRRSPX,Seagate,firecuda 510,ssd,nvme,512gb
1,5392.612903225807,1.0,1.1493103297991705,1.2492118848364848,1.2629251883799621,1.1432904032397961,1.0760522658435574,1.1816762476745368,1.0785423309066764,1.0191410790946593,1.0193693882312123,B073SBX6TY,Western Digital,wd blue,ssd,m2,512gb
0,7995.0,1.0,1.0,1.0,1.0,1.0003711997417741,0.8104315196998123,0.525328330206379,0.525328330206379,0.525328330206379,1.0,B013JPLM68,Toshiba,l200,hdd,25,1tb
1,5679.387096774193,1.0,1.011043453283643,1.0128989384361102,1.0531124629153155,1.058536529952687,1.0063879375140814,1.0466088457977634,1.009786380856635,0.8861284819844638,0.8602870595986619,B07YFF3JCN,Western Digital,sn550,ssd,nvme,512gb
1,32012.516129032258,1.0,1.0094946662566888,1.0235714256923705,1.0216170825658244,1.0670917020358972,1.1965184652239513,1.204651809574481,1.1002883952647553,1.0130235687385714,1.0151966771061318,B08MKJPFZ7,WD_BLACK,wd black,hdd,35,10tb
0,41877.290322580644,1.0,0.8683883250295025,0.7214642473093431,0.6436376325300648,0.7643976718461619,0.675563448559899,0.6792171598125398,0.6379160003574191,0.6386540245078555,0.6180368757876314,B089TMNMDT,Kingston,kc2500,ssd,nvme,2tb
0,10353.838709677419,1.0,0.9912541620619348,0.9903417463991849,0.9248936813212493,0.9528646068623451,1.012213952126218,1.013923463013562,1.0132037673420176,1.0130638784430896,1.0340531328570672,B013JPKUU2,Toshiba,x300,hdd,35,4tb
0,45140.06451612903,1.0,0.9852041428859319,0.9934147620810352,0.9211713314781756,0.8860221446937203,0.885280820080676,0.837037693430198,0.85675981997253,0.8487862628768856,0.8191542882297538,B07QV3XGCP,Western Digital,wd blue,ssd,sata,4tb
1,57772.354838709674,1.0,0.9797635938162187,0.8890640293968038,1.0598292817433796,1.452727417902189,1.3122291254756107,1.0864086685059213,1.055314993274493,1.0307490523148979,0.9304394388877816,B089S3CZ41,Western Digital,wd gold,hdd,35,18tb
0,5499.0,1.0,0.9915634011378692,0.9988267661568966,0.9908589440504335,1.006159477676293,1.0069103473358791,0.9880388809695604,0.9879743531081898,0.9020549190761956,0.850700127295872,B07H2RR55Q,Seagate,barracuda,hdd,35,2tb
0,33675.83870967742,1.0,0.7833636690939382,0.6131216886616326,0.5907796438721741,0.5890650040088089,0.8304826567530469,0.6531570926221634,0.532687836881233,0.5196604055171172,1.0,B013JPLKJC,Toshiba,x300,hdd,35,6tb
1,5999.0,1.0,1.0874014716738505,1.1532513483430034,1.2061454686892261,1.2575751872623933,1.561710285047508,1.604536239910953,1.261629626443117,1.2682224815246985,1.4392828912345605,B07864XMTK,Samsung Electronics,860 pro,ssd,sata,256gb
0,19151.451612903227,1.0,0.9786166056885871,0.9165581653879515,0.9852151357178348,0.9961832253935101,1.0492172467905798,1.1103849619754251,1.04275090745248,1.044255046783281,1.0767346870025853,B078211KCN,Samsung Electronics,860 pro,ssd,sata,1tb
1,80033.45161290323,1.0,0.8636192389368984,0.5772767596775058,1.2698369404943712,1.5276507363654794,1.4054081687079503,1.2749543839934672,1.2664337533055734,1.050399530518892,1.1232782904890173,B08HBPMPZ2,WD_BLACK,an1500,ssd,nvme,4tb
0,13420.806451612903,1.0,0.9980771310795707,0.9980771310795707,0.9980771310795707,1.0106046220961675,0.9852413400793985,1.0057397637274814,1.007028085904169,1.0058262928289008,1.0054897907678255,B07YFGXPQ2,Western Digital,wd red,ssd,m2,1tb
1,46197.45161290323,1.0,0.9808279118873335,0.9952029193063993,1.1158530366265607,1.2102559769740127,1.2624022458065112,1.5065493767635554,1.469229904456397,1.4821589563079283,1.5332789617637057,B07864XY8B,Samsung Electronics,860 evo,ssd,sata,4tb
